antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
rolls/buns|sausage|whole milk,yogurt,0.04874294510005131,0.28296562339661363,0.022832221652129298,0.46842105263157896,1.6553991506417904,1.0,0.009039643805706366,1.3488765500459745,0.41620304716192147,0.0739202657807309,0.2586423123999624,0.27455504127499164
other vegetables|sausage,whole milk|yogurt,0.09286813750641354,0.15059004617752694,0.023088763468445357,0.24861878453038677,1.6509642625203536,1.0,0.009103746352933621,1.130464717954909,0.43465937657114134,0.10477299185098952,0.11540804050119227,0.2009703803401508
other vegetables|pastry,rolls/buns|whole milk,0.0715751667521806,0.17855310415597742,0.02077988712160082,0.29032258064516125,1.625973303670745,1.0,0.007999918917517265,1.157493353234759,0.41466335083356365,0.09060402684563758,0.13606415345247924,0.2033509454949944
other vegetables|sausage|whole milk,yogurt,0.050282195997947664,0.28296562339661363,0.023088763468445357,0.45918367346938777,1.622754269432161,1.0,0.008860630532135386,1.3258371491911671,0.40408187766372544,0.07444168734491316,0.2457595560585594,0.270389660850741
rolls/buns|yogurt,other vegetables|whole milk,0.11133914828116984,0.1913801949717804,0.03437660338635198,0.3087557603686636,1.6133109301837139,1.0,0.013068495480309725,1.1698033179408245,0.42778601220226814,0.12810707456978968,0.14515544223256682,0.24419021262401008
other vegetables|shopping bags,rolls/buns|whole milk,0.07311441765007697,0.17855310415597742,0.02103642893791688,0.287719298245614,1.6113934260939704,1.0,0.007981622707939054,1.1532628833278151,0.40934835586938767,0.09121245828698553,0.13289501079369248,0.20276769509981848
other vegetables|yogurt,rolls/buns|whole milk,0.12031811185223192,0.17855310415597742,0.03437660338635198,0.2857142857142857,1.6001642036124795,1.0,0.01289343102894987,1.1500256541816316,0.4263633712452611,0.12997090203685743,0.13045418042294993,0.2391215106732348
sausage|yogurt,other vegetables|whole milk,0.07542329399692149,0.1913801949717804,0.023088763468445357,0.30612244897959184,1.5995513486896098,1.0,0.008654238757900607,1.1653638366583166,0.40540140584535705,0.09473684210526316,0.14189889153630994,0.21338294030749028
rolls/buns|shopping bags,other vegetables|whole milk,0.06875320677270395,0.1913801949717804,0.02103642893791688,0.3059701492537313,1.598755551998719,1.0,0.007878426820821663,1.1651081061696926,0.4021635422965799,0.08798283261802574,0.14171054625350396,0.20794486014965385
pip fruit|whole milk,pastry,0.08696767573114418,0.1775269368907132,0.024628014366341714,0.2831858407079646,1.5951711084965983,1.0,0.00918890928528687,1.1474006929796223,0.4086470918797414,0.10267379679144385,0.12846488056133687,0.21095708220369327
